Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,ville,tmp,wnd_spd,wnd_gust,wnd_dir,pressure,humidity,condition,Correction
13117,Station Paris Basketball - Stade Georges Carpentier,OUI,40,27,13,10,3,OUI,OUI,2022-09-29 04:42:27,"48.82048243838136,2.366832196712494",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
8055,Courcelles - Place des Ternes,OUI,31,30,0,0,0,OUI,OUI,2022-09-29 04:42:26,"48.878199928923124,2.2992860188665043",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
5004,Saint-Jacques - Val de Grâce,OUI,20,13,6,4,2,OUI,OUI,2022-09-29 04:42:26,"48.8417514,2.3413893",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15070,Balard - Montagne de la Fage,OUI,36,16,20,20,0,OUI,OUI,2022-09-29 04:42:26,"48.83850740333351,2.2782871127128606",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18134,Ney - Porte de Clignancourt,OUI,25,20,5,0,5,OUI,OUI,2022-09-29 04:42:26,"48.8978867,2.3458001",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
12043,Daumesnil - Hébrard,OUI,40,17,22,21,1,OUI,OUI,2022-09-29 04:42:26,"48.8429,2.38474",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
12115,Porte de Vincennes,OUI,33,24,9,5,4,OUI,OUI,2022-09-29 04:42:26,"48.846454,2.415514",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18032,Porte de Clignancourt.,OUI,56,32,23,12,11,OUI,OUI,2022-09-29 04:42:26,"48.897488,2.343996",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
5114,Claude Bernard - Arbalète,OUI,17,13,3,2,1,OUI,OUI,2022-09-29 04:42:26,"48.83976676978202,2.347510904073715",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
9117,Bellefond - Maubeuge,OUI,31,28,3,3,0,OUI,OUI,2022-09-29 04:42:26,"48.878255397645,2.3452642187476",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
