Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,ville,tmp,wnd_spd,wnd_gust,wnd_dir,pressure,humidity,condition,Correction
4002,Marché aux fleurs,OUI,23,9,13,11,2,OUI,OUI,2022-09-07 10:40:55,"48.85525811539143,2.3473754525184636",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
8549,George V - Christophe Colomb,OUI,24,0,23,11,12,OUI,OUI,2022-09-07 10:40:55,"48.87046,2.30104",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
15062,Convention - Lourmel,OUI,36,21,13,13,0,OUI,OUI,2022-09-07 10:40:55,"48.84205504165568,2.2859910875558853",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
14002,Edgar Quinet - Raspail,OUI,46,40,5,1,4,OUI,OUI,2022-09-07 10:40:55,"48.83940266673835,2.32971478253603",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
9025,Taitbout - Châteaudun,OUI,39,3,34,21,13,OUI,OUI,2022-09-07 10:40:55,"48.876383969379,2.335356677933531",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
17046,Mac-Mahon - Brey,OUI,25,19,5,1,4,OUI,OUI,2022-09-07 10:40:55,"48.877532084130166,2.294512536052928",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
15034,Lakanal - Commerce,OUI,53,36,12,12,0,OUI,OUI,2022-09-07 10:40:54,"48.84442462786544,2.294059172272682",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
20014,Charonne - Alexandre Dumas,OUI,35,20,13,4,9,OUI,OUI,2022-09-07 10:40:54,"48.85607741505607,2.394869327545166",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
13048,Wurtz - Tolbiac,OUI,28,24,2,1,1,OUI,OUI,2022-09-07 10:40:54,"48.82631195621006,2.344585955142975",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
7023,Bourdonnais - Tour Eiffel,OUI,60,29,31,29,2,OUI,OUI,2022-09-07 10:40:54,"48.860897797941,2.295599598447",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
17011,Fragonard - Porte de Clichy,OUI,56,40,14,12,2,OUI,OUI,2022-09-07 10:40:54,"48.894155633419,2.3143893107772",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
7005,Raspail - Bac,OUI,52,2,50,46,4,OUI,OUI,2022-09-07 10:40:54,"48.855628721100935,2.3256602883338933",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
13128,Quai de la Gare - Pont de Bercy,OUI,30,0,28,16,12,OUI,OUI,2022-09-07 10:40:54,"48.83730787972,2.3740861260598",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
13019,Fernand Braudel - Vincent Auriol,OUI,36,2,33,20,13,OUI,OUI,2022-09-07 10:40:54,"48.83637852318147,2.3723404482007027",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
2003,Saint-Denis - Réaumur,OUI,32,9,23,16,7,OUI,OUI,2022-09-07 10:40:54,"48.8661116315789,2.3507790675507594",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
8026,Messine - Place Du Pérou,OUI,12,1,10,4,6,OUI,OUI,2022-09-07 10:40:54,"48.875448033960744,2.315508019010038",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
11040,Temple - Jean-Pierre Timbaud,OUI,36,29,5,4,1,OUI,OUI,2022-09-07 10:40:54,"48.864465972010244,2.3660597205162053",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
5106,Cujas - Saint-Michel,OUI,19,4,14,7,7,OUI,OUI,2022-09-07 10:40:53,"48.848191348584,2.341831654854",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
5021,Jussieu - Fossés Saint-Bernard,OUI,39,1,37,36,1,OUI,OUI,2022-09-07 10:40:53,"48.84718551002347,2.3534858599305153",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
19130,Place Paul Delouvrier,OUI,26,20,3,1,2,OUI,OUI,2022-09-07 10:40:53,"48.89197621431365,2.3851288855075836",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
5105,Geoffroy-Saint-Hilaire - Saint-Marcel,OUI,17,15,1,1,0,OUI,OUI,2022-09-07 10:40:53,"48.83907826424974,2.356877340669728",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
12105,Bercy - Villot,OUI,34,1,50,41,9,OUI,OUI,2022-09-07 10:40:53,"48.841795009027,2.3767850184816",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
12024,Gare de Bercy,OUI,35,29,6,4,2,OUI,OUI,2022-09-07 10:40:53,"48.839794573906,2.3826066032052",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
11114,Ledru-Rollin - Charonne,OUI,32,24,6,2,4,OUI,OUI,2022-09-07 10:40:53,"48.85345855607243,2.3772463581947094",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
7007,Musée d'Orsay,OUI,65,26,38,28,10,OUI,OUI,2022-09-07 10:40:53,"48.85972615790874,2.325860448181629",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
13118,Regnault - Patay,OUI,63,11,49,42,7,OUI,OUI,2022-09-07 10:40:52,"48.82435782216384,2.377065159380436",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
8007,Rome - Provence,OUI,30,2,27,20,7,OUI,OUI,2022-09-07 10:40:52,"48.874230055580306,2.325570111724113",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
15013,Volontaire - Lecourbe,OUI,31,18,12,11,1,OUI,OUI,2022-09-07 10:40:52,"48.8435137879902,2.3065522313117985",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
15064,Javel - André Citroën,OUI,45,2,40,37,3,OUI,OUI,2022-09-07 10:40:52,"48.846276485475,2.2786368057131767",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
15047,Morillons - Dantzig,OUI,52,52,0,0,0,OUI,OUI,2022-09-07 10:40:52,"48.83310149953933,2.299380004405976",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
12009,Charenton - Diderot,OUI,18,9,8,2,6,OUI,OUI,2022-09-07 10:40:52,"48.846171461187,2.3793068155646",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
7003,Square Boucicaut,OUI,60,1,58,32,26,OUI,OUI,2022-09-07 10:40:52,"48.851296433665276,2.325061820447445",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
12005,Crozatier - Faubourg Saint-Antoine,OUI,29,15,2,1,1,OUI,OUI,2022-09-07 10:40:52,"48.850440013405,2.378901366211",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
6016,Danton - Serpente,OUI,22,9,12,6,6,OUI,OUI,2022-09-07 10:40:52,"48.85229736258167,2.3414132371544834",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
17106,Berthier - Porte de Clichy,OUI,24,16,7,5,2,OUI,OUI,2022-09-07 10:40:51,"48.894222687781095,2.3125872006815977",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
11014,Place de la Nation - Taillebourg,OUI,47,21,18,16,2,OUI,OUI,2022-09-07 10:40:51,"48.8488408,2.3973043",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
7017,La Motte-Picquet - La Tour Maubourg,OUI,40,25,14,14,0,OUI,OUI,2022-09-07 10:40:51,"48.8572316,2.3094136",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
13007,Le Brun - Gobelins,OUI,48,33,9,4,5,OUI,OUI,2022-09-07 10:40:51,"48.835092787823875,2.353468135133752",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
12101,Charenton - Prague,OUI,26,24,2,2,0,OUI,OUI,2022-09-07 10:40:51,"48.848175129981,2.3763584494312",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
14131,Jourdan - Monticelli,OUI,30,29,0,0,0,OUI,OUI,2022-09-07 10:40:51,"48.822032,2.329095",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
17027,Place du Maréchal Juin - Péreire,OUI,46,39,6,3,3,OUI,OUI,2022-09-07 10:40:51,"48.885263,2.298286",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
5016,Thouin - Cardinal Lemoine,OUI,17,16,0,0,0,OUI,OUI,2022-09-07 10:40:51,"48.84504716661511,2.3494647851273465",Paris,Paris,19,12,0,S,1011.2,71,Ciel voilé,Non
